
Transformer,1,7097,10,0.05190556063442617,Mon Nov  4 08:32:16 2024
Transformer,1,7097,30,0.04781531673428174,Mon Nov  4 08:32:19 2024
Transformer,1,7097,100,0.041392618035142485,Mon Nov  4 08:32:23 2024
Transformer,1,7097,300,0.04023179552845053,Mon Nov  4 08:32:28 2024
Transformer,1,7097,1000,0.03467272705322987,Mon Nov  4 08:32:40 2024
Transformer,1,7097,3000,0.03155230000816487,Mon Nov  4 08:33:10 2024
Transformer,1,7097,10000,0.02995985872238069,Mon Nov  4 08:34:52 2024
Transformer,1,7097,30000,0.032966122836680024,Mon Nov  4 08:39:20 2024
Transformer,1,23381,1,0.6114588943687645,Mon Nov  4 08:41:20 2024
Transformer,1,23381,3,0.21829588590441523,Mon Nov  4 08:41:21 2024
Transformer,1,23381,10,0.08753107810342634,Mon Nov  4 08:41:23 2024
Transformer,1,23381,30,0.0434209966176265,Mon Nov  4 08:41:25 2024
Transformer,1,23381,100,0.04128777346498257,Mon Nov  4 08:41:28 2024
Transformer,1,23381,300,0.0393898130671398,Mon Nov  4 08:41:32 2024
Transformer,1,23381,1000,0.03589989577193518,Mon Nov  4 08:41:43 2024
Transformer,1,23381,3000,0.030503454190250988,Mon Nov  4 08:42:13 2024
Transformer,1,23381,10000,0.02798247473264063,Mon Nov  4 08:43:55 2024
Transformer,1,23381,30000,0.026492006371955614,Mon Nov  4 08:48:25 2024
Transformer,1,88793,1,0.3248112435276444,Mon Nov  4 08:50:24 2024
Transformer,1,88793,3,0.06106824166065938,Mon Nov  4 08:50:26 2024
Transformer,1,88793,10,0.06285351826935201,Mon Nov  4 08:50:28 2024
Transformer,1,88793,30,0.04154607089790138,Mon Nov  4 08:50:30 2024
Transformer,1,88793,100,0.041100875550025215,Mon Nov  4 08:50:32 2024
Transformer,1,88793,300,0.036401852864671395,Mon Nov  4 08:50:37 2024
Transformer,1,88793,1000,0.031354098807315565,Mon Nov  4 08:50:48 2024
Transformer,1,88793,3000,0.028880475944763905,Mon Nov  4 08:51:16 2024
Transformer,1,88793,10000,0.026604855584131705,Mon Nov  4 08:52:48 2024
Transformer,1,88793,30000,0.02559881878865732,Mon Nov  4 08:57:04 2024
Transformer,1,288921,1,0.08924778490453153,Mon Nov  4 08:58:57 2024
Transformer,1,288921,3,0.13219112842469602,Mon Nov  4 08:58:59 2024
Transformer,1,288921,10,0.047967793570982444,Mon Nov  4 08:59:01 2024
Transformer,1,288921,30,0.04280232064224578,Mon Nov  4 08:59:03 2024
Transformer,1,288921,100,0.039130154191642195,Mon Nov  4 08:59:06 2024
Transformer,1,288921,300,0.03631649730173317,Mon Nov  4 08:59:10 2024
Transformer,1,288921,1000,0.031317194369999135,Mon Nov  4 08:59:22 2024
Transformer,1,288921,3000,0.029380936074901273,Mon Nov  4 08:59:50 2024
Transformer,1,288921,10000,0.026046071503613447,Mon Nov  4 09:01:24 2024
Transformer,1,288921,30000,0.025491433721539135,Mon Nov  4 09:05:56 2024
Transformer,1,999161,1,0.11480940838117858,Mon Nov  4 09:07:56 2024
Transformer,1,999161,3,0.049756538424942945,Mon Nov  4 09:07:57 2024
Transformer,1,999161,10,0.04290677174120336,Mon Nov  4 09:07:59 2024
Transformer,1,999161,30,0.04174526277426127,Mon Nov  4 09:08:01 2024
Transformer,1,999161,100,0.03942155103022988,Mon Nov  4 09:08:03 2024
Transformer,1,999161,300,0.036205862220880146,Mon Nov  4 09:08:07 2024
Transformer,1,999161,1000,0.030902813062877267,Mon Nov  4 09:08:18 2024
Transformer,1,999161,3000,0.028137475503860292,Mon Nov  4 09:08:45 2024
Transformer,1,999161,10000,0.025750576795355695,Mon Nov  4 09:10:22 2024
Transformer,1,999161,30000,0.025208499332940257,Mon Nov  4 09:14:57 2024
Transformer,1,3079881,1,0.9620530395894438,Mon Nov  4 09:17:00 2024
Transformer,1,3079881,3,0.5853920627284694,Mon Nov  4 09:17:02 2024
